year	step	length	number
2000	3	120	7
2000	3	132	2
2000	3	144	1
2000	3	20	1
2000	3	52	1
2000	3	56	3
2000	3	60	6
2000	3	64	5
2000	3	68	21
2000	3	72	17
2000	3	76	47
2000	3	80	47
2000	3	84	43
2000	3	88	37
2000	3	92	44
2000	3	96	34
2000	4	100	12
2000	4	104	16
2000	4	108	12
2000	4	112	15
2000	4	116	13
2000	4	120	6
2000	4	124	7
2000	4	128	7
2000	4	132	5
2000	4	136	5
2000	4	140	3
2000	4	144	6
2000	4	148	3
2000	4	152	1
2000	4	48	2
2000	4	52	2
2000	4	56	7
2000	4	60	17
2000	4	64	14
2000	4	68	11
2000	4	72	14
2000	4	76	16
2000	4	80	20
2000	4	84	17
2000	4	88	12
2000	4	92	25
2000	4	96	17
2001	1	100	42
2001	1	104	17
2001	1	108	17
2001	1	112	11
2001	1	116	7
2001	1	120	2
2001	1	60	5
2001	1	64	16
2001	1	68	25
2001	1	72	26
2001	1	76	38
2001	1	80	55
2001	1	84	62
2001	1	88	51
2001	1	92	65
2001	1	96	42
2001	3	100	73
2001	3	104	55
2001	3	108	34
2001	3	112	21
2001	3	116	18
2001	3	120	8
2001	3	124	3
2001	3	128	4
2001	3	132	1
2001	3	136	4
2001	3	140	1
2001	3	144	1
2001	3	156	3
2001	3	52	1
2001	3	56	1
2001	3	60	3
2001	3	64	17
2001	3	68	37
2001	3	72	61
2001	3	76	64
2001	3	80	117
2001	3	84	112
2001	3	88	100
2001	3	92	80
2001	3	96	77
2001	4	100	21
2001	4	104	5
2001	4	108	8
2001	4	112	4
2001	4	116	3
2001	4	120	2
2001	4	124	1
2001	4	140	1
2001	4	144	1
2001	4	20	2
2001	4	40	2
2001	4	48	3
2001	4	52	3
2001	4	56	5
2001	4	60	4
2001	4	64	10
2001	4	68	13
2001	4	72	17
2001	4	76	23
2001	4	80	36
2001	4	84	43
2001	4	88	28
2001	4	92	27
2001	4	96	22
2002	1	100	8
2002	1	104	6
2002	1	108	2
2002	1	112	3
2002	1	116	2
2002	1	120	1
2002	1	124	1
2002	1	140	1
2002	1	52	2
2002	1	56	5
2002	1	60	3
2002	1	64	6
2002	1	68	13
2002	1	72	13
2002	1	76	16
2002	1	80	36
2002	1	84	39
2002	1	88	29
2002	1	92	29
2002	1	96	13
2002	2	100	6
2002	2	104	7
2002	2	108	2
2002	2	112	3
2002	2	116	1
2002	2	124	1
2002	2	128	1
2002	2	132	2
2002	2	136	1
2002	2	140	1
2002	2	40	2
2002	2	44	6
2002	2	48	20
2002	2	52	20
2002	2	56	5
2002	2	60	2
2002	2	64	7
2002	2	68	7
2002	2	72	8
2002	2	76	10
2002	2	80	13
2002	2	84	9
2002	2	88	12
2002	2	92	8
2002	2	96	5
2002	3	100	50
2002	3	104	35
2002	3	108	27
2002	3	112	23
2002	3	116	12
2002	3	120	13
2002	3	124	4
2002	3	128	6
2002	3	132	5
2002	3	140	1
2002	3	52	3
2002	3	56	2
2002	3	60	3
2002	3	64	15
2002	3	68	22
2002	3	72	29
2002	3	76	46
2002	3	80	80
2002	3	84	84
2002	3	88	60
2002	3	92	68
2002	3	96	55
2002	4	100	22
2002	4	104	7
2002	4	108	16
2002	4	112	12
2002	4	116	5
2002	4	120	4
2002	4	124	1
2002	4	128	1
2002	4	52	1
2002	4	56	5
2002	4	60	6
2002	4	64	21
2002	4	68	42
2002	4	72	31
2002	4	76	48
2002	4	80	50
2002	4	84	59
2002	4	88	54
2002	4	92	53
2002	4	96	36
2003	1	100	34
2003	1	104	22
2003	1	108	20
2003	1	112	7
2003	1	116	9
2003	1	120	5
2003	1	124	5
2003	1	128	2
2003	1	132	1
2003	1	144	1
2003	1	156	1
2003	1	44	2
2003	1	48	5
2003	1	52	8
2003	1	56	11
2003	1	60	25
2003	1	64	35
2003	1	68	43
2003	1	72	55
2003	1	76	63
2003	1	80	72
2003	1	84	62
2003	1	88	63
2003	1	92	39
2003	1	96	44
2003	2	100	37
2003	2	104	14
2003	2	108	13
2003	2	112	10
2003	2	116	5
2003	2	120	7
2003	2	124	4
2003	2	136	1
2003	2	140	1
2003	2	144	1
2003	2	152	1
2003	2	40	2
2003	2	44	3
2003	2	48	3
2003	2	52	9
2003	2	56	8
2003	2	60	7
2003	2	64	7
2003	2	68	9
2003	2	72	20
2003	2	76	20
2003	2	80	30
2003	2	84	30
2003	2	88	29
2003	2	92	30
2003	2	96	35
2003	3	100	44
2003	3	104	32
2003	3	108	8
2003	3	112	11
2003	3	116	7
2003	3	120	9
2003	3	124	3
2003	3	128	2
2003	3	56	5
2003	3	64	3
2003	3	68	8
2003	3	72	20
2003	3	76	28
2003	3	80	31
2003	3	84	53
2003	3	88	38
2003	3	92	52
2003	3	96	36
2003	4	100	93
2003	4	104	61
2003	4	108	55
2003	4	112	36
2003	4	116	34
2003	4	120	21
2003	4	124	8
2003	4	128	8
2003	4	132	1
2003	4	136	3
2003	4	140	1
2003	4	148	2
2003	4	152	1
2003	4	156	3
2003	4	48	1
2003	4	52	2
2003	4	56	8
2003	4	60	13
2003	4	64	21
2003	4	68	24
2003	4	72	58
2003	4	76	76
2003	4	80	98
2003	4	84	110
2003	4	88	112
2003	4	92	100
2003	4	96	94
2004	1	100	85
2004	1	104	47
2004	1	108	27
2004	1	112	19
2004	1	116	14
2004	1	120	10
2004	1	124	5
2004	1	128	2
2004	1	132	1
2004	1	44	2
2004	1	56	3
2004	1	60	5
2004	1	64	21
2004	1	68	34
2004	1	72	63
2004	1	76	89
2004	1	80	138
2004	1	84	127
2004	1	88	145
2004	1	92	119
2004	1	96	103
2004	2	100	11
2004	2	104	6
2004	2	108	6
2004	2	112	7
2004	2	116	5
2004	2	124	4
2004	2	128	1
2004	2	48	1
2004	2	52	4
2004	2	56	7
2004	2	60	10
2004	2	64	15
2004	2	68	9
2004	2	72	27
2004	2	76	53
2004	2	80	48
2004	2	84	54
2004	2	88	47
2004	2	92	20
2004	2	96	21
2004	3	100	13
2004	3	104	3
2004	3	112	2
2004	3	116	3
2004	3	120	1
2004	3	56	2
2004	3	60	1
2004	3	64	1
2004	3	68	1
2004	3	72	8
2004	3	76	14
2004	3	80	19
2004	3	84	26
2004	3	88	16
2004	3	92	12
2004	3	96	8
2004	4	100	49
2004	4	104	44
2004	4	108	30
2004	4	112	21
2004	4	116	14
2004	4	120	8
2004	4	124	4
2004	4	128	3
2004	4	132	1
2004	4	136	1
